Group	uGroup	Grade	XQGRade	CNProblems	QGrade	Year	DAG	N,Sessions	N,Sessions,Before	N,Sessions,After	N,Sessions,Solve	Days,AcademicPeriod	Mins,AcademicPeriod	Mins,GroupPeriod	Newcomer	Mins,Starter	Mins,ReactionTime	Mins,EarlyBird	Mins,ClosingTime	Mins,Sessions	Mins,Sessions,Before	Mins,Sessions,After	LARVA	N,ProblemsSolved	PATH	Mins,Day	W Problems Solved	Size	RWSP	MAN	MAN01	SIM	MDN	Degree1	Degree2	Degree3	Degree4	Degree5	Degree6	Degree7	Degree8	Degree9	FDegree1	FDegree2	FDegree3	FDegree4	FDegree5	FDegree6	FDegree7	FDegree8	FDegree9	LAP1	LAP2	LAP3	LAP4	LAP5	LAP6	LAP7	LAP8	LAP9	LAP10	FLAP1	FLAP2	FLAP3	FLAP4	FLAP5	FLAP6	FLAP7	FLAP8	FLAP9	KM	
DBA 1516 P2 GA	DBA_1516_P2_GA_	8,800	2	83	Q2	Y2015	1,931	792	519	273	120	32,801	47233,333	0,975	0,753	0,000	0,160	0,906	0,939	0,002	0,001	0,001	NO	8	P1 P5 P6 P2 P3 P4 P7 P8	2,403	0,928	1	0,072	10,392	2,828	0,775	2,002	4	12	14	60	62	64	68	70	78	4	14	14	64	64	64	64	64	70	1	1	1	6912	6912	6912	10368	10368	43008	43008	1	2	2	27000	27000	27000	27000	27000	64800	3	1
DBA 1516 P2 GB	DBA_1516_P2_GB	8,800	2	83	Q3	Y2015	1,326	111	51	60	50	32,801	47233,333	0,422	0,782	16,914	0,051	0,823	0,906	0,001	0,001	0,000	NO	8	P1 P2 P3 P4 P5 P6 P7 P8	1,167	0,879	1	0,121	11,136	2,828	0,793	1,784	4	8	14	16	18	28	32	36	46	4	8	14	14	14	24	26	30	32	1	1	2	2	2	8	16	16	256	256	1	1	2	2	2	16	16	16	16	2	3
DBA 1516 P2 GC	DBA_1516_P2_GC	10,000	4	93	Q4	Y2015	0,625	337	89	248	195	32,801	47233,333	0,435	0,392	12,759	0,045	0,440	0,797	0,004	0,000	0,004	NO	9	P1 P4 P5 P6 P2 P3 P7 P8 P9	6,333	0,476	1	0,524	8,718	3,000	0,910	0,525	4	8	10	12	14	18	20	22	90	4	8	8	8	8	12	12	12	56	1	1	1	1	1	1	1	1	1105920	1935360	1	1	1	1	1	1	1	1	2048	3	1
DBA 1516 P2 GD	DBA_1516_P2_GD	8,800	2	83	Q3	Y2015	1,483	378	251	127	80	32,801	47233,333	0,590	0,744	12,782	0,051	0,793	0,798	0,003	0,001	0,002	NO	8	P1 P2 P4 P5 P6 P8 P3 P7	4,058	0,835	1	0,165	8,718	2,828	0,795	1,897	4	8	12	14	16	20	28	30	50	4	8	12	12	12	16	24	24	46	1	1	1	1	1	1	4	4	432	432	1	1	1	1	1	1	4	4	216	2	3
DBA 1516 P2 GE	DBA_1516_P2_GE	8,800	2	94	Q3	Y2015	1,067	736	180	556	147	32,801	47233,333	0,623	0,634	11,609	0,062	0,700	0,966	0,004	0,001	0,004	NO	9	P1 P2 P3 P4 P5 P6 P7 P8 P9	6,426	0,731	1	0,269	10,050	3,000	0,919	1,256	4	10	12	14	16	18	24	32	98	4	10	10	10	10	10	16	22	86	1	2	2	2	2	2	2	8	1474560	9953280000000	1	2	2	2	2	2	2	4	691200	3	2
DBA 1516 P2 GF	DBA_1516_P2_GF	9,200	3	83	Q3	Y2015	1,290	356	149	207	110	32,801	47233,333	0,580	0,630	13,021	0,053	0,683	0,819	0,003	0,000	0,002	NO	8	P1 P2 P4 P3 P5 P6 P8 P7	4,025	0,755	1	0,245	6,856	2,828	0,726	1,458	4	14	16	20	26	28	32	60	86	4	14	16	20	20	20	24	46	60	1	2	2	2	8	8	8	5832	972000	972000	1	2	2	3	3	3	3	384	3840	3	1
DBA 1516 P2 GG	DBA_1516_P2_GG	8,200	1	94	Q1	Y2015	1,084	462	289	173	68	32,801	47233,333	0,739	0,612	7,730	0,075	0,691	0,911	0,003	0,001	0,002	NO	9	P1 P2 P3 P4 P5 P6 P8 P7 P9	5,016	0,714	1	0,286	9,220	3,000	0,925	0,590	4	8	10	12	14	16	20	28	66	4	10	10	10	10	10	14	24	50	1	1	1	1	1	1	1	4	3240	9072	1	2	2	2	2	2	2	16	1024	2	1
DBA 1516 P2 GH	DBA_1516_P2_GH	9,600	4	94	Q3	Y2015	0,849	706	426	280	215	32,801	47233,333	0,764	0,300	4,654	0,078	0,380	0,725	0,004	0,001	0,003	NO	9	P1 P2 P3 P4 P5 P6 P8 P7 P9	5,681	0,422	1	0,578	8,944	3,000	0,947	1,043	4	18	20	22	24	26	30	62	98	4	20	20	20	20	20	24	50	64	1	4	4	4	4	4	4	2880	1105920	3317760	1	6	6	6	6	6	6	480	7200	3	1
DBA 1516 P2 GI	DBA_1516_P2_GI	9,120	3	83	Q3	Y2015	0,924	611	193	418	155	32,801	47233,333	0,822	0,497	5,802	0,355	0,808	0,970	0,004	0,001	0,003	NO	8	P1 P2 P3 P4 P5 P6 P8 P9	5,983	0,914	0	0,086	10,198	2,828	0,854	0,732	6	20	22	30	34	50	64	72	84	6	22	22	28	30	42	50	66	74	1	6	6	48	96	864	12288	49152	409600	409600	1	12	12	16	16	60	160	7680	46080	3	1
DBA 1617 P2 GA	DBA_1617_P2_GA	10,000	4	94	Q4	Y2016	0,768	191	107	84	74	23,531	33883,950	0,542	0,576	9,864	0,075	0,663	0,767	0,001	0,000	0,000	NO	9	P1 P3 P5 P2 P4 P7 P8 P6 P9	0,943	0,682	0	0,318	10,296	3,000	0,944	0,948	4	10	20	42	44	48	50	58	66	4	12	20	38	38	40	40	42	46	1	1	2	96	96	128	128	1024	4608	13824	1	2	3	32	32	32	32	40	40	2	1
DBA 1617 P2 GB	DBA_1617_P2_GB	9,440	3	94	Q3	Y2016	1,123	742	144	598	182	23,531	33883,950	0,658	0,435	7,488	0,177	0,621	0,896	0,011	0,002	0,009	NO	9	P1 P3 P4 P5 P7 P2 P6 P8 P9	16,161	0,671	1	0,329	7,810	3,000	0,933	1,257	4	14	20	22	26	64	68	72	128	4	16	24	24	28	56	56	58	112	1	4	4	4	4	7680	9600	14400	6220800000000	48384000000000	1	6	12	12	12	2592	2592	2592	276480000000	1	2
DBA 1617 P2 GD	DBA_1617_P2_GD	8,790	2	94	Q1	Y2016	0,854	362	69	293	215	23,531	33883,950	0,343	0,660	14,326	0,005	0,678	0,687	0,004	0,000	0,004	NO	9	P1 P2 P3 P4 P5 P7 P8 P6 P9	6,425	0,683	1	0,317	8,832	3,000	0,946	0,804	4	12	16	18	20	26	28	30	34	4	14	14	14	14	22	22	22	26	1	1	2	2	2	4	4	4	4	233280000000	1	2	2	2	2	12	12	12	12	2	2
DBA 1617 P2 GE	DBA_1617_P2_GE	9,350	3	93	Q3	Y2016	1,134	574	97	477	352	23,531	33883,950	0,987	0,518	0,000	0,032	0,560	0,666	0,003	0,000	0,003	NO	9	P1 P2 P3 P4 P5 P6 P8 P9 P7	3,838	0,614	1	0,386	11,358	3,000	0,960	1,652	4	18	20	22	24	26	30	34	72	4	22	22	22	22	22	26	30	58	1	4	4	4	4	4	4	4	19440	2449440	1	16	16	16	16	16	16	16	4608	3	1
DBA 1617 P2 GF	DBA_1617_P2_GF	8,860	2	94	Q2	Y2016	1,067	173	77	96	50	23,531	33883,950	0,377	0,699	13,634	0,033	0,745	0,880	0,001	0,000	0,001	NO	9	P1 P2 P5 P3 P4 P6 P7 P8 P9	1,295	0,779	1	0,221	12,961	3,000	0,964	1,326	6	10	24	28	32	36	38	40	46	6	8	22	28	28	28	28	28	34	1	2	12	12	18	36	36	36	72	384	1	1	8	16	16	16	16	16	24	2	3
DBA 1617 P2 GG	DBA_1617_P2_GG	9,230	3	94	Q2	Y2016	1,138	867	244	623	213	23,531	33883,950	0,319	0,744	15,180	0,081	0,839	0,943	0,006	0,001	0,005	NO	9	P1 P2 P3 P4 P5 P6 P7 P8 P9	8,335	0,862	1	0,138	8,246	3,000	0,963	1,206	4	24	28	30	32	34	36	50	112	4	22	22	22	22	22	22	30	64	1	4	6	6	6	6	6	192	3870720000000	3870720000000	1	4	4	4	4	4	4	24	4608	1	2
DBA 1617 P2 GH	DBA_1617_P2_GH	9,750	4	94	Q3	Y2016	1,063	883	172	711	168	23,531	33883,950	0,663	0,734	7,767	0,121	0,870	0,939	0,007	0,001	0,005	NO	9	P1 P2 P4 P5 P6 P8 P9 P3 P7	9,440	0,904	1	0,096	9,220	3,000	0,887	0,775	6	12	20	22	36	40	44	48	54	6	12	18	18	32	36	40	44	52	1	2	6	6	96	96	96	192	384	1049760	1	2	4	4	32	32	32	64	192	2	1
DBA 1617 P2 GI	DBA_1617_P2_GI	10,000	4	84	Q4	Y2016	1,203	374	129	245	131	23,531	33883,950	0,550	0,712	9,997	0,044	0,756	0,788	0,021	0,003	0,018	NO	8	P1 P2 P3 P4 P5 P7 P8 P6	30,703	0,813	1	0,187	7,681	2,828	0,802	1,434	4	8	10	12	14	18	20	24	62	4	10	10	10	10	14	14	22	38	1	1	1	1	1	1	1	1	12960	12960	1	2	2	2	2	2	2	8	288	2	1
DBA 1617 P2 GJ	DBA_1617_P2_GJ	7,480	1	73	Q1	Y2016	1,170	372	249	123	52	23,531	33883,950	0,646	0,675	7,729	0,172	0,813	0,893	0,001	0,000	0,001	NO	7	P1 P3 P5 P7 P4 P6 P2	2,045	0,898	0	0,102	19,672	2,646	0,602	1,364	6	14	24	28	30	32	38	38	38	6	16	28	32	32	32	38	40	40	1	3	3	6	6	6	6	6	6	6	1	8	12	24	24	24	24	36	36	2	3
DBA 1718 P2 GA	DBA_1718_P2_GA	7,340	1	94	Q2	Y2017	1,732	232	176	56	47	29,932	43102,517	0,716	0,748	7,579	0,062	0,812	0,815	0,001	0,000	0,001	NO	9	P1 P2 P3 P5 P6 P4 P7 P8 P9	1,863	0,814	1	0,186	13,153	3,000	0,937	2,036	4	8	10	12	14	20	24	26	30	4	10	10	10	10	10	10	10	14	1	1	1	1	1	4	8	8	8	96	1	2	2	2	2	2	2	2	2	2	3
DBA 1718 P2 GB	DBA_1718_P2_GB	7,560	1	94	Q3	Y2017	1,283	1421	1015	406	159	29,932	43102,517	0,981	0,334	0,000	0,270	0,605	0,980	0,002	0,001	0,001	NO	9	P1 P2 P3 P4 P5 P7 P6 P8 P9	2,571	0,664	1	0,336	10,630	3,000	0,947	1,370	4	32	34	38	40	46	58	60	82	4	42	42	44	44	46	54	54	60	1	24	24	48	48	128	1536	1536	442368	442368	1	288	288	288	288	288	576	576	576	3	1
DBA 1718 P2 GC	DBA_1718_P2_GC	6,990	1	94	Q1	Y2017	1,411	442	149	293	78	29,932	43102,517	0,514	0,801	13,987	0,077	0,880	0,968	0,001	0,000	0,001	NO	9	P1 P3 P4 P5 P7 P2 P6 P8 P9	1,612	0,909	1	0,091	11,747	3,000	0,928	1,693	4	8	22	24	28	34	36	40	66	4	10	28	28	32	38	38	40	56	1	1	8	8	8	16	16	32	7776	55296	1	2	48	48	48	64	64	64	640	3	1
DBA 1718 P2 GD	DBA_1718_P2_GD	8,470	2	94	Q3	Y2017	0,924	443	225	218	85	29,932	43102,517	0,928	0,241	1,207	0,187	0,428	0,935	0,001	0,000	0,001	NO	9	P1 P3 P5 P4 P7 P2 P8 P6 P9	1,675	0,513	1	0,487	10,198	3,000	0,953	0,874	4	14	22	26	32	36	50	56	74	4	12	20	22	30	32	44	44	50	1	2	6	12	12	18	216	576	48384	663552	1	1	4	4	6	6	108	108	216	3	1
DBA 1718 P2 GE	DBA_1718_P2_GE	7,610	1	84	Q3	Y2017	1,352	516	225	291	115	29,932	43102,517	0,531	0,824	13,997	0,070	0,890	0,911	0,001	0,000	0,001	NO	8	P1 P2 P3 P4 P5 P7 P8 P6	0,893	0,925	1	0,075	9,381	2,828	0,770	1,619	4	26	28	30	32	36	40	44	78	4	28	28	28	28	30	32	36	48	1	3	3	3	3	6	12	18	138240	138240	1	8	8	8	8	8	8	16	128	3	1
DBA 1718 P2 GG	DBA_1718_P2_GG	9,220	3	94	Q4	Y2017	1,016	334	47	287	208	29,932	43102,517	0,603	0,581	11,316	0,019	0,601	0,773	0,001	0,000	0,001	NO	9	P1 P2 P3 P5 P4 P7 P6 P8 P9	2,021	0,649	1	0,351	8,544	3,000	0,950	0,706	4	8	10	14	20	22	24	44	60	4	10	10	14	22	22	22	38	44	1	1	1	1	1	1	1	96	3072	207360	1	2	2	2	4	4	4	30	30	2	1
DBA 1718 P2 GH	DBA_1718_P2_GH	6,460	1	84	Q1	Y2017	1,965	273	199	74	40	29,932	43102,517	0,235	0,803	22,304	0,033	0,837	0,915	0,000	0,000	0,000	NO	8	P1 P2 P3 P4 P5 P8 P6 P7	0,659	0,879	1	0,121	10,100	2,828	0,798	1,888	4	8	14	20	22	28	34	48	56	4	10	10	14	14	20	28	40	46	1	1	4	6	6	6	6	384	2048	2048	1	2	2	2	2	2	4	48	288	2	3
DBA 1819 P2 GB	DBA_1819_P2_GB	8,230	2	82	Q2	Y2018	1,196	148	19	129	44	17,289	24896,317	0,603	0,470	6,583	0,016	0,470	0,878	0,022	0,000	0,021	YES	8	P1 P2 P7 P4 P5 P6 P9 P8	31,287	0,535	1	0,465	8,307	2,828	0,884	1,281	6	8	10	12	14	18	20	54	66	6	6	6	6	6	6	6	36	44	1	1	1	1	1	2	2	576	6912	6912	1	1	1	1	1	1	1	48	160	3	1
DBA 1819 P2 GC	DBA_1819_P2_GC	8,910	2	82	Q3	Y2018	1,103	178	80	98	51	17,289	24896,317	0,748	0,378	3,893	0,183	0,577	0,943	0,017	0,012	0,005	YES	8	P2 P1 P6 P9 P5 P7 P8 P3	25,010	0,630	1	0,370	6,856	2,828	0,847	1,480	18	20	22	24	46	50	58	60	64	18	18	18	18	32	36	42	42	44	2	2	2	2	480	720	2880	2880	8640	8640	2	2	2	2	32	48	72	72	108	3	1
DBA 1819 P2 GD	DBA_1819_P2_GD	9,730	4	82	Q3	Y2018	1,132	190	42	148	73	17,289	24896,317	0,986	0,053	0,000	0,191	0,253	0,570	0,012	0,002	0,010	YES	8	P1 P2 P7 P6 P5 P9 P8 P3	16,950	0,368	1	0,632	6,481	2,828	0,823	1,039	16	18	22	28	54	58	64	78	96	16	16	20	24	44	44	50	54	68	3	3	6	12	1728	2160	8640	72000	907200	907200	3	3	6	12	432	432	864	2304	8640	3	1
DBA 1819 P2 GE	DBA_1819_P2_GE	8,460	2	82	Q3	Y2018	0,858	158	22	136	38	17,289	24896,317	0,582	0,467	6,833	0,073	0,520	0,993	0,014	0,001	0,013	YES	8	P1 P6 P7 P3 P2 P8 P9 P5	20,821	0,563	1	0,437	7,211	2,828	0,846	1,023	6	8	10	12	16	26	42	94	96	6	6	6	6	6	16	26	66	66	1	1	1	1	2	4	144	1296000	1620000	1620000	1	1	1	1	1	2	16	21600	21600	3	1
DBA 1819 P2 GF	DBA_1819_P2_GF	8,140	1	92	Q2	Y2018	1,170	190	64	126	67	17,289	24896,317	0,780	0,394	3,623	0,244	0,654	0,796	0,016	0,003	0,013	YES	9	P1 P4 P5 P2 P6 P7 P3 P8 P9	23,662	0,708	1	0,292	7,810	3,000	0,910	0,984	14	16	28	30	32	42	48	54	58	14	16	24	24	24	34	36	36	36	1	1	12	12	12	30	72	192	384	90720	1	1	8	8	8	20	20	20	20	2	1
DBA 1819 P2 GG	DBA_1819_P2_GG	9,260	3	92	Q3	Y2018	1,060	266	106	160	79	17,289	24896,317	0,552	0,491	7,425	0,330	0,840	0,989	0,052	0,037	0,014	YES	9	P2 P1 P3 P4 P6 P8 P7 P9 P5	74,270	0,868	0	0,132	8,124	3,000	0,911	1,223	16	26	30	46	50	54	58	80	96	16	22	26	40	40	40	42	56	68	2	24	24	180	360	720	1440	81000	1244160	1935360	2	6	6	48	48	48	48	960	30720	3	1
DBA 1819 P2 GH	DBA_1819_P2_GH	7,960	1	92	Q1	Y2018	1,119	434	65	369	75	17,289	24896,317	0,889	0,212	1,640	0,129	0,350	0,574	0,048	0,002	0,046	YES	9	P6 P1 P2 P3 P7 P4 P9 P5 P8	69,547	0,392	1	0,608	7,937	3,000	0,940	0,643	18	20	22	24	34	50	52	76	80	18	18	18	20	22	36	36	56	56	4	4	4	4	48	864	864	82944	96768	1224720000000	4	4	4	4	4	144	144	2304	2304	3	2
DBA 1819 P2 GI	DBA_1819_P2_GI	7,390	1	72	Q1	Y2018	0,996	242	152	90	36	17,289	24896,317	0,682	0,246	3,774	0,305	0,569	0,649	0,007	0,003	0,003	YES	7	P1 P2 P4 P3 P6 P7 P9	9,376	0,715	1	0,285	6,928	2,646	0,761	1,246	40	44	48	66	72	84	86	92	92	40	42	42	60	60	68	68	70	70	432	576	1152	23040	55296	259200	259200	864000	864000	864000	432	432	432	6480	6480	34560	34560	51840	51840	3	1
DBA 1819 P2 GJ	DBA_1819_P2_GJ	8,140	1	92	Q2	Y2018	0,976	373	27	346	162	17,289	24896,317	0,516	0,472	7,820	0,132	0,624	0,920	0,006	0,003	0,003	YES	9	P1 P6 P7 P9 P3 P2 P5 P8 P4	9,290	0,629	1	0,371	6,403	3,000	0,897	1,049	12	14	16	18	32	36	50	72	90	12	12	12	12	24	26	30	42	58	1	1	1	1	4	8	144	18432	725760	530841600000000	1	1	1	1	2	2	2	96	5184	3	2
DBA 1819 P2 GK	DBA_1819_P2_GK	9,640	4	92	Q3	Y2018	1,137	575	212	363	140	17,289	24896,317	0,888	0,163	1,800	0,400	0,569	0,909	0,132	0,030	0,102	YES	9	P1 P2 P3 P8 P7 P4 P9 P6 P5	190,099	0,597	1	0,403	7,141	3,000	0,888	1,174	50	58	64	66	68	72	88	106	108	50	58	62	64	64	64	74	80	80	2160	8640	14400	14400	14400	18000	202500	5103000	5103000	47628000000000	2160	8640	11520	11520	11520	11520	57600	57600	57600	3	2
DBA 1819 P2 GL	DBA_1819_P2_GL	10,000	4	62	Q4	Y2018	0,814	57	25	32	19	17,289	24896,317	0,846	0,400	2,010	0,340	0,726	0,967	0,008	0,002	0,005	YES	6	P1 P5 P9 P4 P2 P6	11,045	0,894	0	0,106	7,141	2,449	0,672	1,098	6	16	22	24	26	36	42	42	42	6	18	20	20	20	24	34	34	34	1	2	8	8	8	128	192	192	192	192	1	4	8	8	8	12	72	72	72	2	3
